,Team,3rd_Att,3rd_Md,4th_Att,4th_Md,Rec_1st,Rec_1st%,Rush_1st,Rush_1st%,Scrm_Plys
0,49ers,32,14,5,2,13,46.4,22,26.8,137
1,Bears,21,6,1,0,6,40,15,23.4,97
2,Bengals,33,14,4,2,35,61.4,8,13.6,161
3,Bills,23,14,3,2,28,53.8,13,26.5,123
4,Broncos,27,11,2,1,24,55.8,10,19.6,129
5,Browns,30,16,2,1,22,55,23,30.3,139
6,Buccaneers,31,10,1,0,17,47.2,10,15.9,127
7,Cardinals,25,6,9,6,25,45.4,17,34,141
8,Chargers,30,11,5,4,27,45.8,10,18.2,139
9,Chiefs,20,9,1,1,33,61.1,9,20,120
10,Colts,25,8,3,0,26,54.2,14,27.4,138
11,Commanders,25,14,2,1,31,54.4,13,26.5,142
12,Cowboys,25,6,6,3,19,47.5,11,24.4,123
13,Dolphins,25,13,3,3,35,59.3,8,19.5,128
14,Eagles,30,17,3,2,25,56.8,23,31.5,140
15,Falcons,23,8,2,1,19,51.4,17,26.2,127
16,Giants,28,8,2,2,15,38.5,19,29.2,128
17,Jaguars,27,9,4,2,27,55.1,12,21.8,129
18,Jets,29,10,5,4,34,53.1,6,16.2,146
19,Lions,27,13,3,1,24,58.5,14,26.9,127
20,Packers,18,8,2,0,23,51.1,21,37.5,127
21,Panthers,23,6,1,1,14,46.7,11,26.2,104
22,Patriots,26,13,1,0,20,47.6,13,24.5,120
23,Raiders,22,11,2,1,31,66,5,14.7,117
24,Rams,23,12,4,2,30,53.6,9,20.4,129
25,Ravens,23,8,3,1,21,55.3,10,21.7,107
26,Saints,26,8,1,0,21,43.8,11,28.2,123
27,Seahawks,18,8,1,0,19,40.4,6,18.2,96
28,Steelers,30,12,0,0,19,45.2,9,20.4,119
29,Texans,28,7,3,1,18,42.9,11,23.9,127
30,Titans,23,7,1,1,19,59.4,7,13.2,113
31,Vikings,25,8,1,1,28,56,10,25.6,120
